buf_size,prod_or_cons,pk_config,is_fair,randomization,operation_nou
10000,false,100,false,false,12603
10000,true,100,false,false,10293
10000,false,100,false,false,12603
10000,true,100,false,false,12603
10000,false,100,false,false,12603
10000,true,100,false,false,12603
10000,false,100,false,false,12603
10000,true,100,false,false,12603
10000,false,100,false,false,12602
10000,true,100,false,false,12005
10000,false,100,false,false,12598
10000,true,100,false,false,11731
10000,false,100,false,false,12603
10000,true,100,false,false,12603
10000,false,100,false,false,12603
10000,true,100,false,false,12603
10000,false,100,false,false,12603
10000,true,100,false,false,12603
10000,false,100,false,false,12603
10000,true,100,false,false,12603
10000,false,100,false,false,12603
10000,true,100,false,false,12603
10000,false,100,false,false,12603
10000,true,100,false,false,12603
10000,false,100,false,false,12602
10000,true,1000,false,true,1132
10000,false,1000,false,true,1129
10000,true,1000,false,true,1133
10000,false,1000,false,true,1130
10000,true,1000,false,true,60
10000,false,1000,false,true,1131
10000,true,1000,false,true,1134
10000,false,1000,false,true,1131
10000,true,1000,false,true,1133
10000,false,1000,false,true,1010
10000,true,1000,false,true,1132
10000,false,1000,false,true,1133
10000,true,1000,false,true,1119
10000,false,1000,false,true,1122
10000,true,1000,false,true,1133
10000,false,1000,false,true,1133
10000,true,1000,false,true,1129
10000,false,1000,false,true,1130
10000,true,1000,false,true,1133
10000,false,1000,false,true,1131
10000,true,1000,false,true,1133
10000,false,1000,false,true,1133
10000,true,1000,false,true,860
10000,false,1000,false,true,1132
10000,true,1000,false,true,1133
10000,false,1000,false,true,1132
10000,true,1000,false,true,902
10000,false,1000,false,true,1132
10000,true,1000,false,true,1131
10000,false,1000,false,true,1132
10000,true,1000,false,true,1112
10000,false,1000,false,true,859
10000,true,1000,false,true,1132
10000,false,1000,false,true,1131
10000,true,1000,false,true,1131
10000,false,1000,false,true,1131
10000,true,1000,false,true,1131
10000,false,1000,false,true,1131
10000,true,1000,false,true,1131
10000,false,1000,false,true,1131
10000,true,1000,false,true,1131
10000,false,1000,false,true,1110
10000,true,1000,false,true,1129
10000,false,1000,false,true,1125
10000,true,1000,false,true,1127
10000,false,1000,false,true,1125
10000,true,1000,false,true,941
10000,false,1000,false,true,1127
10000,true,1000,false,true,1127
10000,false,1000,false,true,1129
10000,true,1000,false,true,7
10000,false,1000,false,true,1110
10000,true,1000,false,true,141
10000,false,1000,false,true,508
10000,true,1000,false,true,1126
10000,false,1000,false,true,531
10000,true,1000,false,true,969
10000,false,1000,false,true,1022
10000,true,1000,false,true,1077
10000,false,1000,false,true,1127
10000,true,1000,false,true,1129
10000,false,1000,false,true,1129
10000,true,1000,false,true,853
10000,false,1000,false,true,17
10000,true,1000,false,true,394
10000,false,1000,false,true,935
10000,true,1000,false,true,1129
10000,false,1000,false,true,674
10000,true,1000,false,true,1124
10000,false,1000,false,true,679
